user_id,month_index,days_elapsed,days_in_month,historical_avg,prev_month_spend,current_spent_so_far,transaction_count_so_far,target_total_monthly_spending
1,2,10,28,14000.0,13500.0,4500.0,5,14212.94
1,3,15,31,14212.94,14212.94,9000.0,9,18106.57
1,4,20,30,15000.0,18106.57,9500.0,12,13633.21
1,5,25,31,14500.0,13633.21,11000.0,15,13572.74
1,6,12,30,14300.0,13572.74,5800.0,7,14772.15
1,7,18,31,14500.0,14772.15,7000.0,10,11874.50
2,2,10,28,15000.0,14800.0,5000.0,6,14494.46
2,3,15,31,14800.0,14494.46,8800.0,11,17761.81
2,4,20,30,15500.0,17761.81,10200.0,14,14589.47
2,5,25,31,15200.0,14589.47,12500.0,18,15900.00
2,6,12,30,15300.0,15900.00,6100.0,8,16200.00
2,7,18,31,15500.0,16200.00,8900.0,12,15100.00
3,2,10,28,9000.0,8800.0,3000.0,4,9200.00
3,3,15,31,9100.0,9200.0,4500.0,7,9500.00
3,4,20,30,9200.0,9500.0,6200.0,10,9100.00
3,5,25,31,9150.0,9100.0,7500.0,13,9300.00
3,6,12,30,9200.0,9300.0,3800.0,5,9400.00
3,7,18,31,9250.0,9400.0,5500.0,8,8900.00
4,2,10,28,22000.0,21500.0,7500.0,8,22500.00
4,3,15,31,22200.0,22500.0,11000.0,13,23000.00
4,4,20,30,22500.0,23000.0,15500.0,17,22100.00
4,5,25,31,22400.0,22100.0,18000.0,21,22800.00
4,6,12,30,22500.0,22800.0,9000.0,10,22900.00
4,7,18,31,22600.0,22900.0,13500.0,15,22300.00
5,2,10,28,12000.0,11800.0,4000.0,5,12200.00
5,3,15,31,12100.0,12200.0,6000.0,9,12500.00
5,4,20,30,12200.0,12500.0,8200.0,12,12100.00
5,5,25,31,12150.0,12100.0,9800.0,16,12400.00
5,6,12,30,12200.0,12400.0,5000.0,7,12300.00
5,7,18,31,12220.0,12300.0,7200.0,11,11900.00
